dump,bzip2,7z,decompressed,factor_bzip2, factor_7z
aawiki-20160305,1,1,3
tenwiki-20160305,5,3,106
omwiki-20160305,10,4,149
novwiki-20160305,15,10,430
kwwiki-20160305,20,16,605
cowiki-20160305,30,19,707
kywiki-20160305,60,47,1148
pswiki-20160305,90,30,1899
guwiki-20160305,252,69,5030
kkwiki-20160305,526,314,12619
bewiki-20160305,1004,363,19783
skwiki-20160305,1546,731,33418
trwiki-20160305,5769,2015,129885
huwiki-20160305,11187,2534,228813
